DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Iron status biomarkers (transferrin levels)	iron biomarker measurement|| transferrin measurement	GCST002678	iron biomarker measurement|| transferrin measurement	
Iron status biomarkers (transferrin saturation)	iron biomarker measurement|| transferrin saturation measurement	GCST002680	iron biomarker measurement|| transferrin saturation measurement	
Ischemic stroke (cardioembolic)	Ischemic stroke|| cardiac embolism	GCST003490	Ischemic stroke|| cardiac embolism	
Ischemic stroke (cardioembolic)	Ischemic stroke|| cardiac embolism	GCST003323	Ischemic stroke|| cardiac embolism	
Ischemic stroke (cardioembolic)	Ischemic stroke|| cardiac embolism	GCST003257	Ischemic stroke|| cardiac embolism	
Ischemic stroke (large artery atherosclerosis)	Ischemic stroke|| large artery stroke	GCST003322	Ischemic stroke|| large artery stroke	
Ischemic stroke (large artery atherosclerosis)	Ischemic stroke|| large artery stroke	GCST003259	Ischemic stroke|| large artery stroke	
Ischemic stroke (small artery occlusion)	Ischemic stroke|| small artery occlusion	GCST003260	Ischemic stroke|| small artery occlusion	
Itch intensity from mosquito bite adjusted by bite size	mosquito bite reaction itch intensity measurement|| mosquito bite reaction size measurement	GCST004865	mosquito bite reaction itch intensity measurement|| mosquito bite reaction size measurement	
Itch intensity from mosquito bite adjusted by bite size	mosquito bite reaction itch intensity measurement|| mosquito bite reaction size measurement	GCST004862	mosquito bite reaction itch intensity measurement|| mosquito bite reaction size measurement	
Joint destruction and growth retardation	Kashin-Beck disease|| joint damage measurement|| height growth measurement	GCST003727	Kashin-Beck disease|| joint damage measurement|| height growth measurement	
JT interval (sulfonylurea treatment interaction)	JT interval|| response to sulfonylurea	GCST004032	JT interval|| response to sulfonylurea	
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	"systemic juvenile idiopathic arthritis|| polyarticular juvenile idiopathic arthritis, rheumatoid factor negative|| oligoarticular juvenile idiopathic arthritis"	GCST005528	"systemic juvenile idiopathic arthritis|| polyarticular juvenile idiopathic arthritis, rheumatoid factor negative|| oligoarticular juvenile idiopathic arthritis"	
Kidney function decline traits	chronic kidney disease|| rapid kidney function decline|| GFR change measurement	GCST002720	chronic kidney disease|| rapid kidney function decline|| GFR change measurement	
Knee osteoarthritis	osteoarthritis|| knee	GCST003820	osteoarthritis|| knee	
Knee osteoarthritis	osteoarthritis|| knee	GCST004881	osteoarthritis|| knee	
Knee osteoarthritis	osteoarthritis|| knee	GCST000629	osteoarthritis|| knee	
Knee osteoarthritis	osteoarthritis|| knee	GCST000186	osteoarthritis|| knee	
Knee osteoarthritis or femoral neck bone mineral density	osteoarthritis|| knee|| femoral neck bone mineral density	GCST005224	osteoarthritis|| knee|| femoral neck bone mineral density	
Knee osteoarthritis or lumbar spine bone mineral density	osteoarthritis|| knee|| spine bone mineral density	GCST005227	osteoarthritis|| knee|| spine bone mineral density	
Lamotrigine-induced maculopapular exanthema	response to lamotrigine|| maculopapular eruption	GCST005199	response to lamotrigine|| maculopapular eruption	
Language performance in older adults (adjusted for episodic memory)	cognitive decline measurement|| memory performance|| language measurement	GCST004372	cognitive decline measurement|| memory performance|| language measurement	
Lapatinib-induced hepatotoxicity	response to lapatinib|| drug-induced liver injury	GCST002918	response to lapatinib|| drug-induced liver injury	
Late gestational weight gain (fetal effect)	fetal genotype effect measurement|| late gestational weight gain	GCST005030	fetal genotype effect measurement|| late gestational weight gain	
Lateral ventricle volume in trauma-exposed individuals	lateral ventricle volume measurement|| response to trauma exposure	GCST005286	lateral ventricle volume measurement|| response to trauma exposure	
LDL peak particle diameter (total fat intake interaction)	LDL peak particle diameter measurement|| total fat intake measurement	GCST002989	LDL peak particle diameter measurement|| total fat intake measurement	
Lean body mass and age at menarche (combined)	body fat distribution|| age at menarche	GCST001584	body fat distribution|| age at menarche	
Left inferior lateral ventricle volume (Cerebrospinal fluid biomarker status interaction)	cerebrospinal fluid biomarker measurement|| left inferior lateral ventricle volume measurement	GCST002554	cerebrospinal fluid biomarker measurement|| left inferior lateral ventricle volume measurement	
Left superior temporal gyrus thickness (schizophrenia interaction)	schizophrenia|| left superior temporal gyrus thickness measurement	GCST003069	schizophrenia|| left superior temporal gyrus thickness measurement	
Left ventricular function change in anthracycline treatment	left ventricular function|| response to anthracycline-based chemotherapy	GCST004353	left ventricular function|| response to anthracycline-based chemotherapy	
Left ventricular QRS voltage	QRS amplitude|| S wave amplitude|| R wave amplitude	GCST003630	QRS amplitude|| S wave amplitude|| R wave amplitude	
Lewy body disease	Lewy body dementia|| Lewy body dementia measurement	GCST002591	Lewy body dementia|| Lewy body dementia measurement	
Lipid traits	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	GCST002321	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	
Lipid traits	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	GCST002174	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	
Lipid traits	triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	GCST002173	triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	
Lipid traits (pleiotropy) (HIPO component 1)	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	GCST006666	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	
Lipid traits (pleiotropy) (HIPO component 2)	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	GCST006667	total cholesterol measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| high density lipoprotein cholesterol measurement	
Lipoprotein-associated phospholipase A2 (red blood cell fatty acid level interaction)	fatty acid measurement|| lipoprotein-associated phospholipase A(2) measurement	GCST004816	fatty acid measurement|| lipoprotein-associated phospholipase A(2) measurement	
Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms	lipoprotein A measurement|| apolipoprotein A 1 measurement	GCST004399	lipoprotein A measurement|| apolipoprotein A 1 measurement	
Lobular breast cancer (menopausal hormone therapy interaction)	invasive lobular carcinoma|| hormone replacement therapy	GCST002266	invasive lobular carcinoma|| hormone replacement therapy	
lower facial morphology traits (ordinal measurement)	lip morphology measurement|| chin morphology measurement	GCST003634	lip morphology measurement|| chin morphology measurement	
lower facial morphology traits (quantitative measurement)	lip morphology measurement|| chin morphology measurement	GCST003636	lip morphology measurement|| chin morphology measurement	
Lumbar spine bone mineral density or breast cancer (pleiotropy)	breast carcinoma|| spine bone mineral density	GCST004837	breast carcinoma|| spine bone mineral density	
Lumbar spine bone mineral density or coronary artery disease (pleiotropy)	spine bone mineral density|| coronary artery disease	GCST004717	spine bone mineral density|| coronary artery disease	
Lung cancer	lung carcinoma|| squamous cell carcinoma|| lung adenocarcinoma	GCST002466	lung carcinoma|| squamous cell carcinoma|| lung adenocarcinoma	
Lung cancer (asbestos exposure interaction)	lung carcinoma|| asbestos exposure measurement	GCST003049	lung carcinoma|| asbestos exposure measurement	
Lung cancer (asbestos exposure interaction)	lung carcinoma|| asbestos exposure measurement	GCST001543	lung carcinoma|| asbestos exposure measurement	
Lung cancer (household air pollution interaction)	lung carcinoma|| household air pollution measurement	GCST002739	lung carcinoma|| household air pollution measurement	
Lung cancer (smoking interaction)	smoking status measurement|| lung carcinoma	GCST002392	smoking status measurement|| lung carcinoma	
Lung cancer and family history of lung cancer	lung carcinoma|| family history of lung cancer	GCST002753	lung carcinoma|| family history of lung cancer	
Lung cancer x radon exposure interaction (1df)	lung carcinoma|| radon exposure measurement	GCST006413	lung carcinoma|| radon exposure measurement	
Lung function (maximal voluntary ventilation)	maximal voluntary ventilation|| pulmonary function measurement	GCST005127	maximal voluntary ventilation|| pulmonary function measurement	
Major depression and alcohol dependence	unipolar depression|| alcohol dependence	GCST005022	unipolar depression|| alcohol dependence	
Major depressive disorder (stressful life events interaction)	unipolar depression|| self rated health|| stressful life event measurement	GCST003319	unipolar depression|| self rated health|| stressful life event measurement	
Male fertility	birth rate|| male fertility|| family size	GCST001540	birth rate|| male fertility|| family size	
Mammographic density (dense area)	dense area measurement|| mammographic density measurement	GCST002667	dense area measurement|| mammographic density measurement	
Mammographic density (non-dense area)	non-dense area measurement|| mammographic density measurement	GCST002668	non-dense area measurement|| mammographic density measurement	
Maternal genotype effects in autism spectrum disorder families	autism spectrum disorder|| genetic variation	GCST002368	autism spectrum disorder|| genetic variation	
Mean arterial pressure (alcohol consumption interaction)	diastolic blood pressure|| alcohol drinking	GCST002308	diastolic blood pressure|| alcohol drinking	
Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)	mean arterial pressure|| alcohol consumption measurement	GCST006172	mean arterial pressure|| alcohol consumption measurement	
Mean arterial pressure x alcohol consumption interaction (2df test)	mean arterial pressure|| alcohol drinking	GCST006167	mean arterial pressure|| alcohol drinking	
Mean arterial pressure x sodium interaction (1df test)	sodium measurement|| mean arterial pressure	GCST006116	sodium measurement|| mean arterial pressure	
Mean arterial pressure x sodium interaction (2df test)	sodium measurement|| mean arterial pressure	GCST006114	sodium measurement|| mean arterial pressure	
Mean corpuscular hemoglobin	hemoglobin measurement|| mean corpuscular hemoglobin	GCST000587	hemoglobin measurement|| mean corpuscular hemoglobin	
Mean corpuscular hemoglobin concentration	hemoglobin measurement|| mean corpuscular hemoglobin concentration	GCST000582	hemoglobin measurement|| mean corpuscular hemoglobin concentration	
Menarche and menopause (age at onset)	age at menarche|| age at menopause	GCST001336	age at menarche|| age at menopause	
Menarche and menopause (age at onset)	age at menarche|| age at menopause	GCST000403	age at menarche|| age at menopause	
Menstruation quality of life impact (acne)	quality of life during menstruation measurement|| acne	GCST006640	quality of life during menstruation measurement|| acne	
Menstruation quality of life impact (aggressiveness)	quality of life during menstruation measurement|| aggressive behavior	GCST006641	quality of life during menstruation measurement|| aggressive behavior	
Menstruation quality of life impact (bowel movement)	quality of life during menstruation measurement|| abnormal peristalsis	GCST006643	quality of life during menstruation measurement|| abnormal peristalsis	
Menstruation quality of life impact (depression)	quality of life during menstruation measurement|| unipolar depression	GCST006644	quality of life during menstruation measurement|| unipolar depression	
Menstruation quality of life impact (dysmenorrhea)	quality of life during menstruation measurement|| dysmenorrheic pain measurement	GCST006636	quality of life during menstruation measurement|| dysmenorrheic pain measurement	
Menstruation quality of life impact (edema)	quality of life during menstruation measurement|| edema	GCST006645	quality of life during menstruation measurement|| edema	
Menstruation quality of life impact (fever)	quality of life during menstruation measurement|| fever	GCST006638	quality of life during menstruation measurement|| fever	
Menstruation quality of life impact (headache)	quality of life during menstruation measurement|| Headache	GCST006646	quality of life during menstruation measurement|| Headache	
Menstruation quality of life impact (increased appetite)	quality of life during menstruation measurement|| eating behaviour	GCST006642	quality of life during menstruation measurement|| eating behaviour	
Menstruation quality of life impact (joint pain)	quality of life during menstruation measurement|| arthralgia	GCST006647	quality of life during menstruation measurement|| arthralgia	
Menstruation quality of life impact (loss of concentration)	quality of life during menstruation measurement|| decreased attention	GCST006648	quality of life during menstruation measurement|| decreased attention	
Menstruation quality of life impact (nervousness)	nervousness|| quality of life during menstruation measurement	GCST006649	nervousness|| quality of life during menstruation measurement	
Menstruation quality of life impact (pressure in breast)	quality of life during menstruation measurement|| breast pressure measurement	GCST006650	quality of life during menstruation measurement|| breast pressure measurement	
Menstruation quality of life impact (sleepiness)	quality of life during menstruation measurement|| sleepiness	GCST006651	quality of life during menstruation measurement|| sleepiness	
Menstruation quality of life impact (stiff neck)	quality of life during menstruation measurement|| Stiff neck	GCST006652	quality of life during menstruation measurement|| Stiff neck	
Mental development (prenatal lead exposure interaction)	blood lead measurement|| mental development measurement	GCST004769	blood lead measurement|| mental development measurement	
Metabolic traits	inflammatory response|| triglyceride measurement|| insulin measurement|| glucose measurement	GCST000292	inflammatory response|| triglyceride measurement|| insulin measurement|| glucose measurement	
Metabolite levels	serum albumin measurement|| metabolite measurement|| serum alanine aminotransferase measurement|| low density lipoprotein cholesterol measurement|| fasting blood glucose measurement|| uric acid measurement	GCST001233	serum albumin measurement|| metabolite measurement|| serum alanine aminotransferase measurement|| low density lipoprotein cholesterol measurement|| fasting blood glucose measurement|| uric acid measurement	
Metabolite levels	phenylalanine measurement|| acylcarnitine measurement|| carbohydrate measurement|| tyrosine measurement|| sphingolipid measurement|| lysine measurement|| lipid measurement|| phospholipid measurement|| serotonin measurement	GCST000274	phenylalanine measurement|| acylcarnitine measurement|| carbohydrate measurement|| tyrosine measurement|| sphingolipid measurement|| lysine measurement|| lipid measurement|| phospholipid measurement|| serotonin measurement	
Metabolite levels (5-HIAA/ MHPG Ratio)	MHPG measurement|| 5-HIAA measurement	GCST001821	MHPG measurement|| 5-HIAA measurement	
Metabolite levels (HVA-5-HIAA Factor score)	HVA measurement|| 5-HIAA measurement	GCST001817	HVA measurement|| 5-HIAA measurement	
Metabolite levels (HVA/5-HIAA ratio)	HVA measurement|| 5-HIAA measurement	GCST001818	HVA measurement|| 5-HIAA measurement	
Metabolite levels (HVA/MHPG ratio)	HVA measurement|| MHPG measurement	GCST001823	HVA measurement|| MHPG measurement	
Metabolite levels (lipid measures)	lipid measurement|| blood metabolite measurement	GCST003664	lipid measurement|| blood metabolite measurement	
Metabolite levels (lipoprotein measures)	lipoprotein measurement|| blood metabolite measurement	GCST003665	lipoprotein measurement|| blood metabolite measurement	
Metabolite levels (small molecules and protein measures)	blood metabolite measurement|| protein measurement|| amino acid measurement	GCST003666	blood metabolite measurement|| protein measurement|| amino acid measurement	
middle facial morphology traits (ordinal measurement)	nose morphology measurement|| cheekbone morphology measurement	GCST003633	nose morphology measurement|| cheekbone morphology measurement	
Midgestational circulating levels of organochlorine pesticides	gestational serum measurement|| organochlorine pesticide measurement	GCST004281	gestational serum measurement|| organochlorine pesticide measurement	
Midgestational circulating levels of organochlorine pesticides (fetal genetic effect)	gestational serum measurement|| fetal genotype effect measurement|| organochlorine pesticide measurement	GCST004282	gestational serum measurement|| fetal genotype effect measurement|| organochlorine pesticide measurement	
Midgestational circulating levels of PBDEs	polybrominated biphenyl measurement|| gestational serum measurement|| polybrominated diphenyl ether measurement	GCST004285	polybrominated biphenyl measurement|| gestational serum measurement|| polybrominated diphenyl ether measurement	
Midgestational circulating levels of PBDEs (fetal genetic effect)	polybrominated biphenyl measurement|| gestational serum measurement|| fetal genotype effect measurement|| polybrominated diphenyl ether measurement	GCST004286	polybrominated biphenyl measurement|| gestational serum measurement|| fetal genotype effect measurement|| polybrominated diphenyl ether measurement	
Midgestational circulating levels of PCBs	polychlorinated biphenyls measurement|| gestational serum measurement	GCST004283	polychlorinated biphenyls measurement|| gestational serum measurement	
Midgestational circulating levels of PCBs (fetal genetic effect)	polychlorinated biphenyls measurement|| gestational serum measurement|| fetal genotype effect measurement	GCST004284	polychlorinated biphenyls measurement|| gestational serum measurement|| fetal genotype effect measurement	
Midgestational cytokine/chemokine levels (fetal genetic effect)	gestational serum measurement|| fetal genotype effect measurement|| protein measurement	GCST006623	gestational serum measurement|| fetal genotype effect measurement|| protein measurement	
Midgestational cytokine/chemokine levels (maternal genetic effect)	gestational serum measurement|| protein measurement|| parental genotype effect measurement	GCST006621	gestational serum measurement|| protein measurement|| parental genotype effect measurement	
Migraine or coronary artery disease	migraine disorder|| coronary artery disease	GCST004944	migraine disorder|| coronary artery disease	
Milk allergy (maternal genetic effects)	milk allergy measurement|| parental genotype effect measurement	GCST005722	milk allergy measurement|| parental genotype effect measurement	
Milk allergy (parent-of-origin effect)	milk allergy measurement|| parental genotype effect measurement	GCST005726	milk allergy measurement|| parental genotype effect measurement	
Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	insulin sensitivity measurement|| body mass index	GCST003659	insulin sensitivity measurement|| body mass index	
Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	insulin sensitivity measurement|| body mass index	GCST003658	insulin sensitivity measurement|| body mass index	
Monocyte chemoattractant protein-1 (red blood cell fatty acid level interaction)	fatty acid measurement|| CCL2 measurement	GCST004821	fatty acid measurement|| CCL2 measurement	
Mood disorder and prion disease	prion disease|| mood disorder	GCST002862	prion disease|| mood disorder	
Motor development (prenatal lead exposure interaction)	motor development measurement|| blood lead measurement	GCST004768	motor development measurement|| blood lead measurement	
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)"	lung carcinoma|| squamous cell carcinoma|| gastric carcinoma	GCST001718	lung carcinoma|| squamous cell carcinoma|| gastric carcinoma	
Multiple keratinocyte cancers	squamous cell carcinoma|| mulitple keratinocyte carcinoma susceptibility measurement|| basal cell carcinoma	GCST004134	squamous cell carcinoma|| mulitple keratinocyte carcinoma susceptibility measurement|| basal cell carcinoma	
Multiple myeloma and monoclonal gammopathy	multiple myeloma|| monoclonal gammopathy	GCST002922	multiple myeloma|| monoclonal gammopathy	
Multiple sclerosis (OCB status)	multiple sclerosis|| oligoclonal band measurement	GCST001892	multiple sclerosis|| oligoclonal band measurement	
Multiple sclerosis or amyotrophic lateral sclerosis	multiple sclerosis|| amyotrophic lateral sclerosis	GCST002274	multiple sclerosis|| amyotrophic lateral sclerosis	
Neonatal cytokine/chemokine levels (fetal genetic effect)	fetal genotype effect measurement|| protein measurement	GCST006622	fetal genotype effect measurement|| protein measurement	
Neonatal cytokine/chemokine levels (maternal genetic effect)	protein measurement|| parental genotype effect measurement	GCST006625	protein measurement|| parental genotype effect measurement	
Neovascular age-related macular degeneration	age-related macular degeneration|| wet macular degeneration	GCST004737	age-related macular degeneration|| wet macular degeneration	
Neuranatomic and neurocognitive phenotypes	neuroimaging measurement|| South Texas Assessment of Neurocognition	GCST001037	neuroimaging measurement|| South Texas Assessment of Neurocognition	
Neuritic plaques or cerebral amyloid angiopathy (pleiotropy)	neuritic plaque measurement|| cerebral amyloid angiopathy	GCST005515	neuritic plaque measurement|| cerebral amyloid angiopathy	
Neuritic plaques or neurofibrillary tangles (pleiotropy)	neuritic plaque measurement|| neurofibrillary tangles measurement	GCST005516	neuritic plaque measurement|| neurofibrillary tangles measurement	
Neuritic plaques or neurofibrillary tangles or cerebral amyloid angiopathy (pleiotropy)	neuritic plaque measurement|| cerebral amyloid angiopathy|| neurofibrillary tangles measurement	GCST005514	neuritic plaque measurement|| cerebral amyloid angiopathy|| neurofibrillary tangles measurement	
Neurofibrillary tangles or cerebral amyloid angiopathy (pleiotropy)	cerebral amyloid angiopathy|| neurofibrillary tangles measurement	GCST005517	cerebral amyloid angiopathy|| neurofibrillary tangles measurement	
Neuroticism (age interaction)	neurotic disorder|| age at assessment	GCST000724	neurotic disorder|| age at assessment	
Nicotine dependence and major depression (severity of comorbidity)	nicotine dependence symptom count|| depressive symptom measurement	GCST006631	nicotine dependence symptom count|| depressive symptom measurement	
Night sleep phenotypes	sleep duration|| nighttime rest measurement|| sleep quality|| sleep latency	GCST003542	sleep duration|| nighttime rest measurement|| sleep quality|| sleep latency	
Non-alcoholic fatty liver disease histology (AST)	non-alcoholic fatty liver disease|| cirrhosis of liver	GCST000767	non-alcoholic fatty liver disease|| cirrhosis of liver	
Non-alcoholic fatty liver disease histology (lobular)	non-alcoholic fatty liver disease|| cirrhosis of liver	GCST000766	non-alcoholic fatty liver disease|| cirrhosis of liver	
Non-alcoholic fatty liver disease histology (other)	serum alanine aminotransferase measurement|| non-alcoholic fatty liver disease|| cirrhosis of liver	GCST000765	serum alanine aminotransferase measurement|| non-alcoholic fatty liver disease|| cirrhosis of liver	
Non-chemotherapy drug induced agranulocytosis	drug-induced agranulocytosis|| response to drug	GCST003526	drug-induced agranulocytosis|| response to drug	
Non-glioblastoma glioma	central nervous system cancer|| glioma	GCST004348	central nervous system cancer|| glioma	
Non-response to antidepressants and depression	unipolar depression|| mood disorder|| response to antidepressant	GCST003812	unipolar depression|| mood disorder|| response to antidepressant	
Non-response to bupropion and depression	unipolar depression|| response to bupropion|| mood disorder	GCST003804	unipolar depression|| response to bupropion|| mood disorder	
Non-response to citalopram or escitalopram and depression	unipolar depression|| response to escitalopram|| response to citalopram|| mood disorder	GCST003810	unipolar depression|| response to escitalopram|| response to citalopram|| mood disorder	
Non-response to selective serotonin reuptake inhibitors and depression	unipolar depression|| response to selective serotonin reuptake inhibitor|| mood disorder	GCST003808	unipolar depression|| response to selective serotonin reuptake inhibitor|| mood disorder	
Nonalcoholic steatohepatitis-derived hepatocellular carcinoma	hepatocellular carcinoma|| non-alcoholic steatohepatitis	GCST005309	hepatocellular carcinoma|| non-alcoholic steatohepatitis	
Nonsyndromic cleft lip with cleft palate	cleft palate|| cleft lip	GCST004166	cleft palate|| cleft lip	
Nonsyndromic cleft lip with or without cleft palate	cleft palate|| cleft lip	GCST006415	cleft palate|| cleft lip	
Nonsyndromic cleft lip with or without cleft palate	cleft palate|| cleft lip	GCST004088	cleft palate|| cleft lip	
Nonsyndromic cleft lip with or without cleft palate	cleft palate|| cleft lip	GCST002811	cleft palate|| cleft lip	
Nonsyndromic cleft lip with or without cleft palate x sex interaction (2df test)	cleft palate|| sex interaction measurement|| cleft lip	GCST006680	cleft palate|| sex interaction measurement|| cleft lip	
Number of children	female fertility|| fertility measurement	GCST002801	female fertility|| fertility measurement	
Number of children (6+ vs. 0 or 1)	female fertility|| fertility measurement	GCST002800	female fertility|| fertility measurement	
Number of pregnancies	female fertility|| fertility measurement	GCST002799	female fertility|| fertility measurement	
Obesity and osteoporosis	obesity|| osteoporosis	GCST000469	obesity|| osteoporosis	
Obesity-related traits	cortisol secretion measurement|| hormone measurement|| antioxidant measurement|| CCL2 measurement|| body mass index|| IGFBP-3 measurement|| fatty acid measurement|| tumor necrosis factor-alpha measurement|| gestational age|| energy expenditure|| sleep measurement|| metabolic rate measurement|| urinary metabolite measurement|| blood urea nitrogen measurement|| vitamin B12 measurement|| energy intake|| ICAM-1 measurement|| body height|| hip circumference|| arm span|| physical activity|| heart rate|| protein measurement|| estradiol measurement|| thyroid stimulating hormone measurement|| waist circumference|| total cholesterol measurement|| interleukin-6 measurement|| body composition measurement|| birth weight|| amino acid measurement|| C-reactive protein measurement|| HOMA-IR|| head circumference|| adiponectin measurement|| high density lipoprotein cholesterol measurement|| aspartate aminotransferase measurement|| leptin measurement|| transforming growth factor beta measurement|| systolic blood pressure|| IGFBP-1 measurement|| bone density|| body weight|| fasting blood glucose measurement|| homocysteine measurement|| folic acid measurement|| serum alanine aminotransferase measurement|| CCL5 measurement|| IGF-1 measurement|| testosterone measurement|| insulin sensitivity measurement|| diastolic blood pressure|| maximal oxygen uptake measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| lean body mass|| fasting blood insulin measurement	GCST001762	cortisol secretion measurement|| hormone measurement|| antioxidant measurement|| CCL2 measurement|| body mass index|| IGFBP-3 measurement|| fatty acid measurement|| tumor necrosis factor-alpha measurement|| gestational age|| energy expenditure|| sleep measurement|| metabolic rate measurement|| urinary metabolite measurement|| blood urea nitrogen measurement|| vitamin B12 measurement|| energy intake|| ICAM-1 measurement|| body height|| hip circumference|| arm span|| physical activity|| heart rate|| protein measurement|| estradiol measurement|| thyroid stimulating hormone measurement|| waist circumference|| total cholesterol measurement|| interleukin-6 measurement|| body composition measurement|| birth weight|| amino acid measurement|| C-reactive protein measurement|| HOMA-IR|| head circumference|| adiponectin measurement|| high density lipoprotein cholesterol measurement|| aspartate aminotransferase measurement|| leptin measurement|| transforming growth factor beta measurement|| systolic blood pressure|| IGFBP-1 measurement|| bone density|| body weight|| fasting blood glucose measurement|| homocysteine measurement|| folic acid measurement|| serum alanine aminotransferase measurement|| CCL5 measurement|| IGF-1 measurement|| testosterone measurement|| insulin sensitivity measurement|| diastolic blood pressure|| maximal oxygen uptake measurement|| triglyceride measurement|| low density lipoprotein cholesterol measurement|| lean body mass|| fasting blood insulin measurement	
Obesity-related traits	fat body mass|| body mass index|| obesity	GCST001288	fat body mass|| body mass index|| obesity	
Obesity-related traits	body weight|| waist-hip ratio|| body mass index	GCST000060	body weight|| waist-hip ratio|| body mass index	
Objective response to lithium treatment	bipolar disorder|| response to lithium ion	GCST003159	bipolar disorder|| response to lithium ion	
Obsessive-compulsive disorder or autism spectrum disorder	obsessive-compulsive disorder|| autism spectrum disorder	GCST004703	obsessive-compulsive disorder|| autism spectrum disorder	
Obstructive sleep apnea (average oxygen saturation during sleep)	sleep apnea measurement|| obstructive sleep apnea	GCST003673	sleep apnea measurement|| obstructive sleep apnea	
Obstructive sleep apnea trait (apnea hypopnea index)	sleep apnea measurement|| obstructive sleep apnea	GCST003674	sleep apnea measurement|| obstructive sleep apnea	
Obstructive sleep apnea trait (average respiratory event duration)	sleep apnea measurement|| obstructive sleep apnea	GCST003675	sleep apnea measurement|| obstructive sleep apnea	
Occipital cortical area (total cortical area interaction)	total cortical area measurement|| visual cortical surface area measurement	GCST001411	total cortical area measurement|| visual cortical surface area measurement	
Offspring birth weight	birth weight|| parental genotype effect measurement	GCST005314	birth weight|| parental genotype effect measurement	
Open-angle glaucoma and intra-ocular pressure	open-angle glaucoma|| intraocular pressure measurement	GCST005408	open-angle glaucoma|| intraocular pressure measurement	
Open-angle glaucoma and optic cup area	optic cup area measurement|| open-angle glaucoma	GCST005406	optic cup area measurement|| open-angle glaucoma	
Open-angle glaucoma and optic disc area	open-angle glaucoma|| optic disc area measurement	GCST005410	open-angle glaucoma|| optic disc area measurement	
Open-angle glaucoma and vertical cup-disc ratio	cup-to-disc ratio measurement|| open-angle glaucoma	GCST005409	cup-to-disc ratio measurement|| open-angle glaucoma	
Opioid requirements during laparoscopic-assisted colectomy	response to opioid|| analgesia requirement measurement	GCST005364	response to opioid|| analgesia requirement measurement	
Oral cancers (chewing tobacco related)	matrix metalloproteinase measurement|| mouth neoplasm	GCST001480	matrix metalloproteinase measurement|| mouth neoplasm	
Oral cavity and pharyngeal cancer	pharynx cancer|| oral cavity cancer	GCST003857	pharynx cancer|| oral cavity cancer	
Orofacial clefts (cleft lip vs. cleft lip and palate)	cleft palate|| Orofacial clefting syndrome|| cleft lip	GCST005079	cleft palate|| Orofacial clefting syndrome|| cleft lip	
Orofacial clefts (maternal alcohol consumption interaction)	alcohol consumption measurement|| Orofacial clefting syndrome|| cleft lip	GCST001082	alcohol consumption measurement|| Orofacial clefting syndrome|| cleft lip	
Osteoarthritis (with total hip replacement)	hip osteoarthritis symptom severity measurement|| osteoarthritis	GCST004199	hip osteoarthritis symptom severity measurement|| osteoarthritis	
Osteoarthritis of the hip (hospital diagnosed)	osteoarthritis|| hip	GCST005810	osteoarthritis|| hip	
Osteoarthritis of the hip (with total joint replacement)	osteoarthritis|| hip	GCST005572	osteoarthritis|| hip	
Osteoarthritis of the hip or knee	osteoarthritis|| hip|| osteoarthritis|| knee	GCST005573	osteoarthritis|| hip|| osteoarthritis|| knee	
Osteoarthritis of the hip or knee (hospital diagnosed)	osteoarthritis|| hip|| osteoarthritis|| knee	GCST005812	osteoarthritis|| hip|| osteoarthritis|| knee	
Osteoarthritis of the hip or knee (with total joint replacement)	osteoarthritis|| hip|| osteoarthritis|| knee	GCST005571	osteoarthritis|| hip|| osteoarthritis|| knee	
Osteoarthritis of the knee (hospital diagnosed)	osteoarthritis|| knee	GCST005813	osteoarthritis|| knee	
Osteoarthritis of the knee (with total joint replacement)	osteoarthritis|| knee	GCST005574	osteoarthritis|| knee	
Osteoarthritis or femoral neck bone mineral density	osteoarthritis|| femoral neck bone mineral density	GCST005228	osteoarthritis|| femoral neck bone mineral density	
